bg_load:タウン,town.jpg
chr_load:主人公,player.png
chr_load:騎士,knight.png
bgm_load:街中,town.mp3
bgm:街中
bg:タウン
chr:主人公,left
chr:騎士,right
fade_in
wait:90
mes:アロウ,おぉ！！　ルウ！！　良いところで会った。<br>君を探していたのだ。
mes:主人公,よぉアロウじゃないか。<br>どうした？　俺に何か用だったのか。
mes:アロウ,うむ。実はご飯を食べさせてほしいのだ。
mes:主人公,は？
mes:アロウ,恥ずかしい話なのだが、ソロモンの塔を探す旅をしている内に<br>路銀が底をつきかけていてな。<br>日々の宿代を払うのが精一杯なのだ。
mes:アロウ,知り合いといえば君くらいしかいないし、<br>君に会ったら是非飯をたかろうと思っていたのだ！！
mes:主人公,ずーずーしいヤツだな。<br>まぁ冒険者ならソレくらいの根性じゃないとダメか。
mes:主人公,いいだろう、飯くらいおごってやる。<br>俺も久しぶりに人と食事を楽しみたいからな。<br>アロウ、酒は飲めるのか？
mes:アロウ,おぉ！　酒もおごってくれるか？　君はイイ人だなぁ！！<br>もちろん飲めるとも！！　食って飲んで騒ごうじゃないか！！
mes:主人公,おいおい……。俺だって金を稼ぐために魔物狩りをしているんだぜ。<br>少しは遠慮してくれよな。
mes:アロウ,はははは！　この礼はいつか必ずするぞ！
fade_out
