bg_load:タワー,tower.jpg
chr_load:主人公,player_hero.png
chr_load:アロウ,knight2.png
chr_load:二人,maria_maoh.png
chr_load:アロウ2,knight3.png
bgm_load:BGM,opening.mp3
bgm_load:BGM2,true_ending.mp3
bgm:BGM
bg:タワー
chr:主人公,left
chr:アロウ,right
fade_in
wait:90
mes:主人公,もうやめろ！　これ以上やればお前を殺してしまう！！
mes:アロウ,とまらんのだ、ルウよ。<br>このソロモンの指環の魔力に取り憑かれた私は……<br>戦いをやめることができないのだ。
mes:アロウ,魔物を召喚しては殺す日々……。<br>無限にも思える月日の果てにお前が来てくれた……。<br>ルウよ、私を殺してくれ！！
mes:主人公,まさかお前が探していた宝が、そんな呪われたアイテムだったとはな。
mes:主人公,だが、いくら「まずやってみる」俺でも<br>お前を殺すことはできない……。<br>お前は親友じゃないか！
mes:アロウ,ならばお前が死ぬぞ！<br>もう抑えるのも限界なのだ……。
fade_out
chr:二人,center
bgm:BGM2
fade_in
mes:まおー,なるほど、ただの人間がソロモンの指環に取り憑かれたのか。<br>それで最近のソロモンの塔がおかしかったのか。
mes:主人公,マリア！　まおー！！　なぜここに！？
mes:まおー,お前が下の階の連中を倒してくれたおかげで<br>安全にここまで来れたぞ。<br>ははは露払いご苦労だったな。
mes:主人公,なんでマリアまで連れてきてるんだこの馬鹿！！
mes:まおー,うぐっ！？　だってなー！！　マリアはなー！！
mes:マリア,あなた、まおーちゃんは私をちゃんと守ってくれたわ。<br>ここまで安全に来れたのもまおーちゃんのおかげなの。
mes:主人公,いや、そういうことではなくてな。<br>なぜこんな危ない所に連れてきたのかってことを言ってるんだ。
mes:まおー,それなんだがな。
mes:まおー,おい、そこの人間。ほんの少しでいい。<br>マリアがお前に近づくまで力を何とかして抑えろ。
mes:主人公,！？　おいなんで！！
mes:まおー,うるさい！！　今は私たちのやることを見ておけ。
mes:アロウ,分かった……。だが早くしてくれ。<br>今にも魔力が暴走しそうだ。
mes:マリア,辛かったでしょうね。こんな魔力を普通の人が扱うのは。
mes:ナレーション,マリアが指環に触れると、指環の魔力はマリアに移っていく！<br>するりとアロウの手から指環が外れた。
chr:アロウ2,right
mes:主人公,え？　おいおい。何をしたんだ？
mes:まおー,前に話したと思うが、金髪碧眼の一族は魔力を使役することができるのだ。<br>ソロモンの指環の魔力の暴走を一時的に抑えて、呪いを解き<br>あの人間の手から外したのだ。
mes:まおー,まぁ私がやっても良かったんだが……<br>実を言うとマリアの方が能力を使うのが上手くてな。<br>失敗するのが怖くてマリアに頼んだのだ。
mes:主人公,そ、そんな凄いことができたのか。<br>なんというか……さすがはマリアだな。
mes:マリア,ふふふ……。なにせ一千万ゴールドの女ですもの。
mes:主人公,なるほど。あの法外な値段はそんな意味もあったのか。
mes:アロウ,……あの。
mes:主人公,あ。あぁ。<br>喋っていいぞ、アロウ。
mes:アロウ,何があったかよくわからないが、そこのご婦人が何かしてくれたのだな。<br>私はもう自由になったのか。
mes:まおー,あぁ。安心していいぞ。<br>マリアがソロモンの指環を外してくれたからな。<br>もうこんな塔には来るなよ。
mes:まおー,全く。人目につかない所に隠しておいたのに。<br>わざわざこんな危ない物を探す人間がいるとはな。
mes:アロウ,すまない……。<br>なんでも夢が叶うというお宝があると聞いていたのだが……。
mes:まおー,そうだな。マリアのように魔力の使役が上手い人間が使えば<br>あるいは何でも叶うかもしれんが……。<br>まぁ私のように魔王になる可能性もあるが。
mes:主人公,今すぐその指環を捨てなさいマリア。
mes:マリア,きゃっ！
mes:まおー,なんだよー。魔王もそう悪くないぞ！
mes:主人公,マリアを魔王になんぞしてたまるか。<br>この地に魔王は二人もいらん。<br>お前だけで十分だ。
mes:まおー,……魔王友達ができるかと思ったのになー。
mes:アロウ,盛り上がっているところ悪いんだが……。<br>ルウ、頼みがあるのだ。
mes:主人公,ははは、わかってるさ。さぁ早く皆で帰って飯にしよう。
mes:アロウ,ありがたい！<br>指環をつけている間はソロモンの塔から出ることができなくて<br>ここ数年まともに飯を食べていなかったのだ。
mes:アロウ,指環の魔力のおかげで死にはしなかったが、<br>ものすごい空腹だぞ……。<br>今なら何でも食べられる気がする……。
mes:マリア,あなた、アロウさんの目がマジですわ。
mes:主人公,あぁ、マジだな。早く帰ろう。
mes:まおー,あ！　私も行っていいよな！？　私も！！
mes:主人公,……まぁいいか。今日くらいは。<br>ただし大人しくしろよ。
mes:まおー,久しぶりにまともな飯が食えるぞー！<br>領主様の飯ってどんな飯なんだろうな！<br>なぁ、おい人間！　気になるな！！
mes:アロウ,あぁ、楽しみだ！！　早く帰ろう。
mes:主人公,お前ら二人とも腹ペコキャラだったのか……。
mes:主人公,（さて、さすがに３回目のスタッフロールはないからこれで本当におしまいだ）<br>
mes:まおー,おいルウ！　何してる、早く行くぞ！！
mes:主人公,分かった、分かった。少し落ち着け。
fade_out
scene:0, 0
